-nan,0,-nan,-nan,-nan,1,20,1500,6,20,20,1e-10,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,20,1e-09,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,20,1e-08,0,15,6
1,0.0024,0,0,0,1,20,1500,6,20,20,1e-07,0,15,6
1,0.0258,0,0.157178,0.157178,1,20,1500,6,20,20,1e-06,0,15,6
1,0.2634,0,0.249754,0.249754,1,20,1500,6,20,20,1e-05,0,15,6
0.999092,2.6394,0.000301387,0.273427,0.273728,1,20,1500,6,20,20,0.0001,0,15,6
0.865151,26.7996,0.181581,0.859316,1.0409,1,20,1500,6,20,20,0.001,0,15,6
0.529794,30.0126,12855,7.94819,12862.9,1,20,1500,6,20,20,0.01,0,15,6
0.526683,29.874,14341.2,7.99563,14349.2,1,20,1500,6,20,20,0.1,0,15,6
