1000 0 1000 1 0 -5.0
1000 0 1000 1 0 -4.5
1000 0 1000 1 0 -4.0
1000 0 1000 1 0 -3.5
1000 0 1000 1 0 -3.0
1000 3 997 0.997 0.00338972 -2.5
1000 62 938 0.938 0.014947 -2.0
1000 280 720 0.72 0.0278292 -1.5
1000 590 410 0.41 0.0304841 -1.0
1000 802 198 0.198 0.0246988 -0.5
1000 915 85 0.085 0.0172853 0.0
1000 973 27 0.027 0.010046 0.5
1000 993 7 0.007 0.00516749 1.0
1000 1000 0 0 0 1.5
1000 1000 0 0 0 2.0
1000 1000 0 0 0 2.5
1000 1000 0 0 0 3.0
1000 1000 0 0 0 3.5
1000 1000 0 0 0 4.0
1000 1000 0 0 0 4.5
1000 1000 0 0 0 5.0
