1,1,1,0.0276,0.036,0.0636,0,0,0,0.202156,0.216556,0.210307,0.202156,0.216556,0.210307,0.052225,0.0562817,0.0545212,0.00247359,0.00156937,0.00196177,1,10,1500,6,6,20,20,5,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.0636,0.0636,0.1272,0,0,0,0.215583,0.210421,0.213002,0.215583,0.210421,0.213002,0.0559897,0.0545794,0.0552845,0.00162127,0.00194834,0.00178481,1,10,1500,6,6,20,20,10,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.0792,0.0936,0.1728,0,0,0,0.20003,0.209828,0.205337,0.20003,0.209828,0.205337,0.051785,0.0545153,0.0532639,0.00267955,0.00202063,0.00232263,1,10,1500,6,6,20,20,15,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.1344,0.1404,0.2748,0,0,0,0.213071,0.216981,0.215069,0.213071,0.216981,0.215069,0.0552742,0.0562136,0.0557542,0.00176796,0.00148731,0.00162457,1,10,1500,6,6,20,20,20,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.168,0.1548,0.3228,0,0,0,0.215943,0.209316,0.212765,0.215943,0.209316,0.212765,0.0576874,0.0543506,0.0560873,0.00272923,0.00204665,0.00240189,1,10,1500,6,6,20,20,25,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.1872,0.1836,0.3708,0,0,0,0.209842,0.211648,0.210736,0.209842,0.211648,0.210736,0.0545231,0.0554819,0.0549978,0.00202147,0.00219643,0.0021081,1,10,1500,6,6,20,20,30,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.2232,0.2172,0.4404,0,0,0,0.212048,0.210946,0.211505,0.212048,0.210946,0.211505,0.0550274,0.0547957,0.0549131,0.00184371,0.00193849,0.00189046,1,10,1500,6,6,20,20,35,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.991416,1,0.995763,0.2772,0.2868,0.564,0,0,0,0.219802,0.216931,0.218342,0.219802,0.216931,0.218342,0.0590637,0.0566472,0.0578349,0.00259427,0.00171205,0.00214565,1,10,1500,6,6,20,20,40,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.2724,0.3168,0.5892,0,0,0,0.214552,0.216862,0.215794,0.214552,0.216862,0.215794,0.059014,0.0570291,0.0579468,0.00385593,0.00198356,0.0028492,1,10,1500,6,6,20,20,45,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
1,1,1,0.3108,0.33,0.6408,0,0,0,0.21208,0.212349,0.212219,0.21208,0.212349,0.212219,0.0563601,0.055118,0.0557204,0.00269892,0.00182755,0.00225018,1,10,1500,6,6,20,20,50,1e-05,0.5,0,0,15,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
