0.357719,0.631108,0.575347,28.9272,199.181,228.108,9191.72,6558.89,6892.77,3.84342,0.589939,1.00253,9195.56,6559.48,6893.77,2818.33,113.505,456.514,2803.55,113.157,454.336,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,2,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.453618,0.63311,0.595358,38.1072,199.685,237.792,9092.39,6604.37,7003.09,2.8794,0.594846,0.960956,9095.27,6604.97,7004.05,2082.39,125.574,439.162,2074.1,125.22,437.536,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,6,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.519194,0.628467,0.60531,44.1456,198.727,242.873,8825.89,6632.24,7030.97,2.55997,0.59579,0.952807,8828.45,6632.83,7031.92,1776.95,131.848,430.869,1770.4,131.493,429.387,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,14,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.627538,0.598131,0.604179,51.6936,190.31,242.004,8757.31,6717.76,7153.42,2.22451,0.610478,0.955246,8759.53,6718.37,7154.37,1912.81,89.3814,478.878,1907.86,89.0087,477.527,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,30,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.705438,0.612277,0.631247,57.1608,194.04,251.201,8716.97,6581.94,7067.77,2.05055,0.610069,0.937851,8719.02,6582.55,7068.71,659.638,131.48,251.662,655.433,131.107,250.418,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,62,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.802175,0.627624,0.662587,63.1992,197.417,260.616,8696.23,6694.62,7180.01,1.86932,0.593835,0.90314,8698.1,6695.22,7180.91,370.41,130.487,188.668,366.915,130.134,187.554,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,126,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.899783,0.61082,0.6662,67.7688,194.04,261.809,8574.24,6698.83,7184.28,1.75329,0.604244,0.901674,8575.99,6699.43,7185.18,214.683,102.179,131.301,211.609,101.814,130.234,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,254,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.941013,0.627216,0.686379,68.9928,197.921,266.914,8582.89,6643.77,7145,1.71833,0.596567,0.886525,8584.61,6644.37,7145.89,184.328,154.068,161.889,181.375,153.712,160.862,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,510,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.966053,0.635226,0.696142,68.5032,199.584,268.087,8592.23,6464.99,7008.56,1.73168,0.585481,0.878364,8593.96,6465.58,7009.43,161.435,181.062,176.047,158.436,180.719,175.025,1,10,1500,6,6,20,80,10,0.1,0.5,0,0,1022,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6



    rng_run = 1
    max_packets = 1500
    min_lambda = -10
    max_lambda = -1
    step_size = 1
    lambdas = []
    nStas = 10
    lambda_val = 10 ** max_lambda
    mcs1 = 6
    mcs2 = 6
    channelWidth = 20
    channelWidth2 = 80
    cwmin_values = [3, 7, 15, 31, 63, 127, 255, 511, 1023]
