0.388464,0.386865,0.387666,31.0488,30.7632,61.812,9051.98,9124.82,9088.24,3.53512,3.6541,3.59433,9055.52,9128.48,9091.83,2455.08,2861.06,2657.13,2442.57,2847.7,2644.2,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,2,6,15,6,15,6,15,6,2,6,15,6,15,6,15,6
0.461462,0.454106,0.457731,37.8624,38.352,76.2144,9043.73,9013.87,9028.7,3.00752,2.8965,2.95166,9046.73,9016.76,9031.65,2218.36,2446.56,2333.2,2209.31,2438.17,2324.48,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,6,6,15,6,15,6,15,6,6,6,15,6,15,6,15,6
0.563325,0.537299,0.550293,47.0016,44.9616,91.9632,8811.65,8899.19,8854.45,2.38859,2.49637,2.44128,8814.04,8901.69,8856.89,2013.31,2028.99,2020.97,2007.6,2022.75,2015.01,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,14,6,15,6,15,6,15,6,14,6,15,6,15,6,15,6
0.611111,0.640873,0.625926,50.7144,52.7136,103.428,8853.25,8894.81,8874.43,2.21383,2.15296,2.18281,8855.46,8896.97,8876.62,1015.09,2072,1553.76,1010.19,2067.36,1548.99,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,30,6,15,6,15,6,15,6,30,6,15,6,15,6,15,6
0.709904,0.734756,0.722264,57.6096,58.9968,116.606,8663.22,8700.32,8681.99,2.01354,1.97584,1.99446,8665.23,8702.3,8683.98,612.477,1147.38,883.113,608.422,1143.48,879.134,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,62,6,15,6,15,6,15,6,62,6,15,6,15,6,15,6
0.799588,0.821223,0.810327,63.3216,64.0968,127.418,8611.84,8657.35,8634.74,1.86275,1.8273,1.84492,8613.71,8659.18,8636.58,390.345,336.605,363.311,386.874,333.265,359.906,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,126,6,15,6,15,6,15,6,126,6,15,6,15,6,15,6
0.886498,0.888769,0.887631,67.2384,67.1568,134.395,8576.15,8587.12,8581.63,1.76292,1.76749,1.76521,8577.91,8588.89,8583.4,211.859,244.269,228.054,208.751,241.144,224.938,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,254,6,15,6,15,6,15,6,254,6,15,6,15,6,15,6
0.946868,0.93823,0.942538,69.0744,68.7888,137.863,8547.49,8546.81,8547.15,1.72311,1.73229,1.72769,8549.22,8548.54,8548.88,179.722,188.612,184.158,176.752,185.611,181.172,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,510,6,15,6,15,6,15,6,510,6,15,6,15,6,15,6
0.962113,0.958166,0.960138,68.3808,68.2176,136.598,8565.29,8581.01,8573.14,1.73449,1.73874,1.73661,8567.02,8582.75,8574.88,159.699,159.966,159.833,156.69,156.942,156.816,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,1022,6,15,6,15,6,15,6,1022,6,15,6,15,6,15,6



    rng_run = 1
    max_packets = 1500
    min_lambda = -10
    max_lambda = -1
    step_size = 1
    lambdas = []
    nStas = 10
    lambda_val = 10 ** max_lambda
    mcs1 = 6
    mcs2 = 6
    channelWidth = 20
    channelWidth2 = 20
    cwmin_values = [3, 7, 15, 31, 63, 127, 255, 511, 1023]
