-nan,0,-nan,-nan,-nan,1,20,1500,6,20,5,1e-10,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,5,1e-09,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,5,1e-08,0,15,6
1,0.0006,0,0,0,1,20,1500,6,20,5,1e-07,0,15,6
1,0.0024,0,0.064172,0.064172,1,20,1500,6,20,5,1e-06,0,15,6
1,0.0744,0,0.249579,0.249579,1,20,1500,6,20,5,1e-05,0,15,6
1,0.6804,0.000168359,0.262308,0.262476,1,20,1500,6,20,5,0.0001,0,15,6
0.994259,6.6504,0.0062831,0.297449,0.303732,1,20,1500,6,20,5,0.001,0,15,6
0.737822,33.8904,6929.21,1.76725,6930.98,1,20,1500,6,20,5,0.01,0,15,6
0.736289,33.8562,13566,1.7716,13567.8,1,20,1500,6,20,5,0.1,0,15,6
