-nan,0,-nan,-nan,-nan,1,20,1500,6,20,10,1e-10,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,10,1e-09,0,15,6
-nan,0,-nan,-nan,-nan,1,20,1500,6,20,10,1e-08,0,15,6
1,0.0006,0,0,0,1,20,1500,6,20,10,1e-07,0,15,6
1,0.018,0,0.181593,0.181593,1,20,1500,6,20,10,1e-06,0,15,6
1,0.1278,0,0.248869,0.248869,1,20,1500,6,20,10,1e-05,0,15,6
0.998124,1.2768,0.000441036,0.266393,0.266834,1,20,1500,6,20,10,0.0001,0,15,6
0.977188,13.2366,0.0110507,0.366845,0.377896,1,20,1500,6,20,10,0.001,0,15,6
0.626587,32.0928,10964,3.72998,10967.7,1,20,1500,6,20,10,0.01,0,15,6
0.628388,32.133,14227.8,3.72614,14231.5,1,20,1500,6,20,10,0.1,0,15,6
